Titel;Link
24 Wochen;https://api-tvthek.orf.at/assets/subtitles/0192/49/a5b22e688af286423d8fcb7940ee8c2386fb1422.ttml
Das Glück an Meiner Seite;https://api.ardmediathek.de/player-service/subtitle/ebutt/urn:ard:subtitle:36363703613e7baa
Drei Schritte zu dir ;https://subtitles.eai-general.aws.srf.ch/srf/a0bdc073-58b1-494b-82ce-8011179b1f4f/episode/de/vod/vod.vtt
Hin und weg;https://api.ardmediathek.de/subtitle-format-service/ebutt/urn:ard:subtitle:5651c25d31cb0e14
Sterben wie ich will – Teil 1;https://api.ardmediathek.de/player-service/subtitle/ebutt/urn:ard:subtitle:c7c5d375abbedba2
Sterben wie ich will – Teil 2;https://api.ardmediathek.de/player-service/subtitle/ebutt/urn:ard:subtitle:9d1a7b9fbecb7bd1
Ziemlich beste Freunde ;https://api.ardmediathek.de/player-service/subtitle/ebutt/urn:ard:subtitle:687105cc3a6052ef
37 Grad – Der Tod die beste Entscheidung;https://utstreaming.zdf.de/mtt/zdf/23/01/230117_2220_sendung_37g/5/F1038211_hoh_deu_37Grad_Der_Tod_Die_beste_Entscheidung_170123.xml
37 Grad – Du fehlst mir;https://utstreaming.zdf.de/mtt/zdf/24/09/240924_2215_sendung_37g/3/F1045571_hoh_deu_37_Grad_Du__fehlst_mir.xml
Wenn der Partner stribt 1;https://api.ardmediathek.de/player-service/subtitle/ebutt/urn:ard:subtitle:42ddebbc8ad7921b
Wenn der Partner stribt 2;https://api.ardmediathek.de/player-service/subtitle/ebutt/urn:ard:subtitle:6f23896599d5e7db
Wenn der Partner stribt 3;https://api.ardmediathek.de/player-service/subtitle/ebutt/urn:ard:subtitle:0a98530ab7c86b8b
Wenn der Partner stribt 4;https://api.ardmediathek.de/player-service/subtitle/ebutt/urn:ard:subtitle:0472afa591f1db1e
Wenn der Partner stribt 5;https://api.ardmediathek.de/player-service/subtitle/ebutt/urn:ard:subtitle:6a33a5be3f852d93
Y-Kollektiv – Ich lass Dich gehen: Wenn die Eltern sterben;https://api.ardmediathek.de/player-service/subtitle/ebutt/urn:ard:subtitle:acd48b8b337f5e04